Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
ksi,@KSI,2023-10-15T09:03:26.000Z,True,Appreciate all the kind messages from everyone. In the ring and watching it back I feel like I should have won. Either way I feel like I accomplished what I wanted to in the end. This little untalented nerd was able go toe to toe with a professional boxer. Use me as the living…,"7,871",13.9K,234K,17.4M,[],[],[],https://pbs.twimg.com/profile_images/1631922736959475713/P543dkC5_normal.jpg,https://twitter.com/KSI/status/1713480693596999791,tweet_id:1713480693596999791
Ayy,@Ayy_only,2023-10-15T11:10:24.000Z,True,"fuck someone to talk, akan kuhadapi semua sambil podcast sama diri sendiri.",68,581,"1,439",70.7K,[],[],[],https://pbs.twimg.com/profile_images/1669272570154319874/K9auwoyq_normal.jpg,https://twitter.com/Ayy_only/status/1713512644454531283,tweet_id:1713512644454531283
Why you should have a cat,@ShouldHaveCat,2023-10-15T14:25:04.000Z,True,He got angry,214,"6,113",49.9K,3.3M,[],[],[],https://pbs.twimg.com/profile_images/1365068242918780928/m278bxAZ_normal.jpg,https://twitter.com/ShouldHaveCat/status/1713561632855507321,tweet_id:1713561632855507321
Jordan Daley,@JDaIey,2023-10-15T17:04:49.000Z,True,Stay single until you find something real.,87,"3,825",14.9K,743.2K,[],[],[],https://pbs.twimg.com/profile_images/1689496672890396673/OSC4QTdb_normal.jpg,https://twitter.com/JDaIey/status/1713601835418657092,tweet_id:1713601835418657092
cat with confusing auras,@cat_auras,2023-10-15T21:33:22.000Z,True,could be us,191,"4,405",36.8K,1.3M,[],[],[],https://pbs.twimg.com/profile_images/1575486829356122115/K9zDF6YG_normal.jpg,https://twitter.com/cat_auras/status/1713669418088071274,tweet_id:1713669418088071274
retro anime,@retro_twt,2023-10-15T13:09:13.000Z,True,The end of Evangelion,90,"5,987",58.7K,1.5M,[],[],[],https://pbs.twimg.com/profile_images/1657231216142331905/wKeESPsb_normal.jpg,https://twitter.com/retro_twt/status/1713542547019100184,tweet_id:1713542547019100184
Positive Vibes,@Positvevbs,2023-10-15T11:54:55.000Z,True,This!,51,"2,140","9,382",167K,[],[],[],https://pbs.twimg.com/profile_images/1669751676646088704/fbivGkB8_normal.jpg,https://twitter.com/Positvevbs/status/1713523846677225630,tweet_id:1713523846677225630
Minecraft,@Minecraft,2023-10-15T17:47:44.000Z,True,"You have voted:

The armadillo is the winner of the 2023 Mob Vote!",10.4K,21.1K,85.1K,8.6M,[],[],[],https://pbs.twimg.com/profile_images/1559209238076919809/H57ucjs2_normal.jpg,https://twitter.com/Minecraft/status/1713612637920251970,tweet_id:1713612637920251970
GIVEAWAY ON PINNED,@ohmybeautybank,2023-10-15T06:31:40.000Z,True,[BB] lipbalm vaseline rosy tinted punya ku kok jadi cair gini ya?,159,35,222,132.5K,[],[],[],https://pbs.twimg.com/profile_images/1357219671133458433/z_fR2ym7_normal.jpg,https://twitter.com/ohmybeautybank/status/1713442497039630420,tweet_id:1713442497039630420
DomTheBomb,@DomTheBombYT,2023-10-15T16:23:40.000Z,True,Spider-Man 2 Official Launch Trailer ,92,"1,024","7,131",429.6K,[],[],"['\\U0001f525', '\\U0001f577\\ufe0f']",https://pbs.twimg.com/profile_images/1575673528476749824/25nIuI5t_normal.jpg,https://twitter.com/DomTheBombYT/status/1713591480474833312,tweet_id:1713591480474833312
Poem Heaven,@PoemHeaven,2023-10-15T21:47:18.000Z,True,"every morning i wake up, i am blessed. no matter how much pain i may be in, i know God is watching over me.",16,621,"1,886",140.4K,[],[],[],https://pbs.twimg.com/profile_images/1582359892693762049/XXEwWLiU_normal.jpg,https://twitter.com/PoemHeaven/status/1713672925381841371,tweet_id:1713672925381841371
Why you should have a cat,@ShouldHaveCat,2023-10-15T09:00:17.000Z,True,"If you brush a cat with a wet toothbrush, it supposedly reminds them of being groomed by their mother",498,"8,806",115.9K,10.4M,[],[],[],https://pbs.twimg.com/profile_images/1365068242918780928/m278bxAZ_normal.jpg,https://twitter.com/ShouldHaveCat/status/1713479898130493653,tweet_id:1713479898130493653
Wario64,@Wario64,2023-10-15T16:01:22.000Z,False,Marvel's Spider-Man 2 - Launch Trailer https://youtube.com/watch?v=9fVYKsEmuRo&ab_channel=PlayStation…,40,210,"1,925",311.1K,[],[],[],https://pbs.twimg.com/profile_images/1686609010307248131/PwXJ2X01_normal.jpg,https://twitter.com/Wario64/status/1713585869129429279,tweet_id:1713585869129429279
cats with jobs,@CatWorkers,2023-10-15T10:38:03.000Z,True,Arrested for selling 15 tons of stolen fruit.,215,"9,557",60.8K,2.8M,[],[],[],https://pbs.twimg.com/profile_images/1531787315852492800/f9XuxbM5_normal.jpg,https://twitter.com/CatWorkers/status/1713504503616418130,tweet_id:1713504503616418130
Overwatch Cavalry,@OWCavalry,2023-10-15T15:56:56.000Z,True,"Overwatch 2 x LE SSERAFIM (르세라핌) The KPOP Group recently revealed new artwork and concept photos for their upcoming single 'Perfect Night' featuring references to #Overwatch2!

We could see some KPOP skins/cosmetics in-game ",148,"4,357",14.1K,719.5K,['#Overwatch2'],[],"['\\U0001f4bf', '\\U0001f440']",https://pbs.twimg.com/profile_images/1590418951623905280/0OMybzN2_normal.jpg,https://twitter.com/OWCavalry/status/1713584750936408405,tweet_id:1713584750936408405
The Spectator Index,@spectatorindex,2023-10-15T22:54:20.000Z,True,"BREAKING: 71 year old Illinois man who killed 6 year old Palestinian-American child and seriously injured his mother reportedly yelled, 'you Muslims must died'.",408,"2,296","5,674",750.2K,[],[],[],https://pbs.twimg.com/profile_images/1145865652533547008/XBahoZmX_normal.png,https://twitter.com/spectatorindex/status/1713689793912308140,tweet_id:1713689793912308140
Attack on Titan Wiki,@AoTWiki,2023-10-15T09:02:10.000Z,True,20 DAYS UNTIL ATTACK ON TITAN IS BACK!,40,"1,438",13.1K,362.8K,[],[],[],https://pbs.twimg.com/profile_images/1480181210122833921/2uFWpINk_normal.jpg,https://twitter.com/AoTWiki/status/1713480371273347084,tweet_id:1713480371273347084
Jujutsu Kaisen,@JJKcontents,2023-10-15T16:47:42.000Z,True,THANK YOU MAPPA FOR THIS ,67,"5,264",69.6K,969.3K,[],[],['\\U0001f64f'],https://pbs.twimg.com/profile_images/1660259517601284097/evBp4EcQ_normal.jpg,https://twitter.com/JJKcontents/status/1713597526668906512,tweet_id:1713597526668906512
chart data,@chartdata,2023-10-15T13:32:15.000Z,True,". and #JungKook of 's ""Left And Right"" has now surpassed 800 million streams on Spotify.",151,"5,774",17.4K,413K,['#JungKook'],"['@charlieputh', '@BTS_twt']",[],https://pbs.twimg.com/profile_images/1342086006149791750/Ar0drcXS_normal.jpg,https://twitter.com/chartdata/status/1713548342922248502,tweet_id:1713548342922248502
Elon Musk,@elonmusk,2023-10-15T21:46:29.000Z,True,I use both words a lot ,"5,384","7,418",86.2K,14.5M,[],[],['\\U0001f602'],https://pbs.twimg.com/profile_images/1683325380441128960/yRsRRjGO_normal.jpg,https://twitter.com/elonmusk/status/1713672720557203470,tweet_id:1713672720557203470
Jujutsu Kaisen,@JJKPerfectShots,2023-10-15T12:25:19.000Z,True,I love them ,63,"4,877",54.8K,889.4K,[],[],['\\u2764\\ufe0f'],https://pbs.twimg.com/profile_images/1676380087472513024/sbNBfYZs_normal.jpg,https://twitter.com/JJKPerfectShots/status/1713531497670488535,tweet_id:1713531497670488535
Jackson Hinkle,@jacksonhinklle,2023-10-15T14:18:12.000Z,True," Russia still supplies gas to Ukraine  Israel cut off water, electricity & internet to Palestine Russia evacuates children Israel has bombed 700 children in Gaza thus far

But the media still lies, telling you: Russia is an aggressor  Israel is defending itself","3,131",42.1K,95.6K,3.5M,[],[],"['\\U0001f1f7\\U0001f1fa', '\\U0001f1ee\\U0001f1f1', '\\U0001f1f7\\U0001f1fa', '\\U0001f1ee\\U0001f1f1', '\\U0001f1f7\\U0001f1fa', '\\U0001f1ee\\U0001f1f1']",https://pbs.twimg.com/profile_images/1567704552283193345/wMLFemzm_normal.jpg,https://twitter.com/jacksonhinklle/status/1713559906765221895,tweet_id:1713559906765221895
CHLS,@cehlos,2023-10-15T10:28:00.000Z,True,"$10 in 120 minutes 
RT & Follow  
Letsgooooo ",525,"2,418",573,36.1K,[],['@UxGsol'],"['\\U0001f499', '\\U0001f499']",https://pbs.twimg.com/profile_images/1681215229064265728/T_9IrjNT_normal.jpg,https://twitter.com/cehlos/status/1713501973692260427,tweet_id:1713501973692260427
